id,fieldY
1,5
2,10
3,8
4,6
5,7
6,10
7,7
8,7
9,9
10,8
11,7
12,6
13,8
14,9
15,7
16,5
17,8
18,9
19,8
20,6
21,4
22,6
23,8
24,6
25,9
26,7
27,6
28,8
29,9
30,7
31,5
32,6
33,7
34,7
35,8
36,5
37,8
38,8
39,7
40,7
41,7
42,6
43,6
44,8
45,8
46,5
47,6
48,9
49,9
50,7
51,7
52,6
53,8
54,6
55,8
56,7
57,8
58,9
59,6
60,8
61,9
62,8
63,9
64,8
65,6
66,6
67,7
68,7
69,7
70,8
71,10
72,6
73,5
74,7
75,5
76,6
77,6
78,7
79,6
80,7
81,7
82,9
83,10
84,7
85,6
86,9
87,5
88,8
89,5
90,4
91,6
92,4
93,6
94,8
95,10
96,8
97,8
98,7
99,10
100,7
101,7
102,6
103,9
104,8
105,8
106,10
107,6
108,6
109,7
110,5
111,5
112,7
113,9
114,5
115,6
116,5
117,6
118,9
119,6
120,10
121,8
122,7
123,8
124,5
125,6
126,9
127,6
128,8
129,6
130,7
131,6
132,8
133,6
134,9
135,7
136,8
137,4
138,7
139,7
140,6
141,7
142,8
143,5
144,7
145,7
146,8
147,6
148,7
149,6
150,6
151,5
152,8
153,7
154,7
155,6
156,7
157,5
158,7
159,5
160,7
161,4
162,8
163,8
164,4
165,6
166,6
167,9
168,7
169,6
170,5
171,9
172,9
173,6
174,6
175,8
176,9
177,5
178,5
179,7
180,6
181,5
182,7
183,6
184,7
185,8
186,8
187,5
188,3
189,5
190,9
191,6
192,8
193,6
194,4
195,7
196,8
197,5
198,5
199,4
200,5
201,9
202,7
203,8
204,5
205,8
206,7
207,7
208,7
209,9
210,6
211,5
212,8
213,7
214,6
215,7
216,7
217,7
218,6
219,8
220,6
221,7
222,8
223,8
224,10
225,6
226,7
227,8
228,7
229,7
230,8
231,6
232,5
233,5
234,8
235,5
236,6
237,4
238,6
239,4
240,6
241,5
242,5
243,6
244,8
245,4
246,8
247,7
248,7
249,7
250,5
251,8
252,5
253,10
254,9
255,7
256,9
257,8
258,7
259,6
260,6
261,8
262,8
263,8
264,6
265,7
266,6
267,6
268,6
269,4
270,8
271,6
272,6
273,4
274,9
275,6
276,5
277,7
278,6
279,9
280,7
281,5
282,8
283,8
284,5
285,7
286,9
287,10
288,8
289,8
290,8
291,7
292,7
293,8
294,4
295,5
296,8
297,7
298,8
299,8
300,5
301,7
302,7
303,9
304,6
305,4
306,9
307,5
308,7
309,7
310,7
311,8
312,6
313,8
314,7
315,4
316,8
317,7
318,7
319,6
320,6
321,10
322,5
323,7
324,7
325,5
326,8
327,7
328,7
329,6
330,7
331,7
332,7
333,6
334,9
335,6
336,7
337,5
338,8
339,9
340,7
341,5
342,7
343,8
344,5
345,5
346,8
347,7
348,5
349,6
350,6
351,7
352,6
353,7
354,7
355,9
356,6
357,7
358,8
359,7
360,9
361,8
362,6
363,8
364,6
365,8
366,5
367,5
368,7
369,4
370,7
371,10
372,6
373,7
374,7
375,4
376,8
377,10
378,8
379,7
380,7
381,6
382,8
383,4
384,7
385,6
386,8
387,6
388,7
389,5
390,6
391,6
392,4
393,6
394,5
395,7
396,5
397,5
398,7
399,7
400,7
401,7
402,9
403,8
404,7
405,8
406,3
407,7
408,9
409,7
410,4
411,7
412,6
413,8
414,5
415,9
416,6
417,6
418,5
419,7
420,4
421,8
422,8
423,6
424,9
425,6
426,7
427,8
428,7
429,8
430,4
431,8
432,6
433,7
434,10
435,6
436,5
437,6
438,6
439,8
440,5
441,7
442,8
443,6
444,7
445,7
446,7
447,7
448,7
449,7
450,10
451,6
452,7
453,9
454,9
455,7
456,8
457,7
458,6
459,6
460,6
461,7
462,8
463,8
464,7
465,7
466,9
467,7
468,7
469,9
470,4
471,7
472,7
473,7
474,6
475,8
476,7
477,4
478,6
479,7
480,8
481,6
482,7
483,10
484,7
485,4
486,8
487,7
488,4
489,5
490,5
491,6
492,5
493,6
494,8
495,9
496,5
497,7
498,4
499,5
500,6
501,8
502,4
503,7
504,8
505,7
506,8
507,8
508,5
509,7
510,8
511,8
512,5
513,6
514,7
515,6
516,7
517,8
518,8
519,9
520,8
521,8
522,4
523,6
524,9
525,5
526,6
527,8
528,6
529,6
530,9
531,10
532,8
533,7
534,5
535,6
536,7
537,8
538,8
539,6
540,7
541,7
542,7
543,7
544,7
545,9
546,10
547,5
548,6
549,9
550,5
551,8
552,7
553,8
554,4
555,9
556,6
557,6
558,6
559,7
560,6
561,7
562,8
563,7
564,5
565,6
566,6
567,7
568,7
569,7
570,6
571,8
572,7
573,7
574,7
575,9
576,9
577,7
578,5
579,7
580,7
581,6
582,5
583,7
584,8
585,7
586,4
587,7
588,10
589,8
590,9
591,10
592,5
593,9
594,9
595,9
596,7
597,6
598,8
599,8
600,5
601,5
602,7
603,6
604,7
605,10
606,6
607,5
608,5
609,9
610,9
611,6
612,5
613,5
614,6
615,6
616,7
617,9
618,8
619,7
620,6
621,7
622,5
623,5
624,5
625,7
626,7
627,8
628,7
629,7
630,6
631,5
632,8
633,5
634,8
635,10
636,9
637,5
638,4
639,7
640,6
641,10
642,7
643,9
644,7
645,6
646,8
647,8
648,7
