ID,student participation,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture,team size
1,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,6
9,0,0,0,0,0,0,0,0,7
10,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,2
12,0,0,0,0,0,0,0,0,2
13,1,0,0,0,0,0,0,0,15
14,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,7
17,0,0,0,0,0,0,0,0,10
18,0,0,0,0,0,0,0,0,2
19,1,0,0,0,0,0,0,0,6
20,0,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,0,0,0,8
25,1,0,0,0,0,0,0,0,3
26,0,0,0,0,0,0,0,0,2
27,0,0,0,0,0,0,0,0,3
28,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,2
30,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,2
33,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,1
37,0,0,0,0,0,0,0,0,9
38,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0,1
40,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,2
42,0,0,0,0,0,0,0,0,3
43,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,0,4
45,0,0,0,0,0,0,0,0,4
46,0,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,2
48,0,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0,8
50,0,0,0,0,0,0,0,0,3
51,0,0,0,0,0,0,0,0,6
52,0,0,0,0,0,0,0,0,3
53,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0,4
56,0,0,0,0,0,0,0,0,2
57,1,0,0,0,0,0,0,0,3
58,0,0,0,0,0,0,0,0,3
59,0,0,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0,0,6
61,0,0,0,0,0,0,0,0,1
62,1,0,0,0,0,0,0,0,7
63,1,0,0,0,0,0,0,0,10
64,0,0,0,0,0,0,0,0,2
65,1,0,0,0,0,0,0,0,8
66,0,0,0,0,0,0,0,0,2
67,1,0,0,0,0,0,0,0,8
68,0,0,0,0,0,0,0,0,2
69,0,0,0,0,0,0,0,0,2
70,1,0,0,0,0,0,0,0,1
71,0,0,0,0,0,0,0,0,4
72,1,0,0,0,0,0,0,0,17
73,0,0,0,0,0,0,0,0,1
74,1,0,0,0,0,0,0,0,1
75,1,0,0,0,0,0,0,0,9
76,1,0,0,0,0,0,0,0,7
77,0,0,0,0,0,0,0,0,2
78,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,1
80,1,0,0,0,0,0,0,0,5
81,0,0,0,0,0,0,0,0,5
82,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,43
84,0,0,0,0,0,0,0,0,2
85,1,0,0,0,0,0,0,0,2
86,1,0,0,0,0,0,0,0,9
87,0,0,0,0,0,0,0,0,3
88,1,0,0,0,0,0,0,0,3
89,0,0,0,0,0,0,0,0,3
90,1,0,0,0,0,0,0,0,8
91,1,0,0,0,0,0,0,0,8
92,0,0,0,0,0,0,0,0,5
93,1,0,0,0,0,0,0,0,9
94,1,0,0,0,0,0,0,0,3
95,1,0,0,0,0,0,0,0,3
96,0,0,0,0,0,0,0,0,6
97,0,0,0,0,0,0,0,0,6
98,1,0,0,0,0,0,0,0,3
99,0,0,0,0,0,0,0,0,3
100,1,0,0,0,0,0,0,0,6
101,0,0,0,0,0,0,0,0,3
102,1,0,0,0,0,0,0,0,1
103,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,1
105,0,0,0,0,0,0,0,0,1
106,1,0,0,0,0,0,0,0,5
107,1,0,0,0,0,0,0,0,3
108,1,0,0,0,0,0,0,0,2
109,0,0,0,0,0,0,0,0,3
110,1,0,0,0,0,0,0,0,5
111,1,0,0,0,0,0,0,1,10
112,0,0,0,0,0,0,0,1,1
113,0,0,0,0,0,0,0,1,5
114,1,0,0,0,0,0,0,1,4
115,0,0,0,0,0,0,0,1,2
116,1,0,0,0,0,0,0,1,10
117,1,0,0,0,0,0,0,1,3
118,1,0,0,0,0,0,0,1,6
119,0,0,0,0,0,0,0,1,7
120,0,0,0,0,0,0,0,1,4
121,0,0,0,0,0,0,0,1,3
122,1,0,0,0,0,0,0,1,3
123,0,0,0,0,0,0,0,1,3
124,0,0,0,0,0,0,0,1,1
125,0,0,0,0,0,0,0,1,2
126,0,0,0,0,0,0,0,1,1
127,0,0,0,0,0,0,0,1,3
128,1,0,0,0,0,0,0,1,7
129,0,0,0,0,0,0,0,1,1
130,0,0,0,0,0,0,0,1,2
131,0,0,0,0,0,0,0,1,1
132,0,0,0,0,0,0,0,1,1
133,1,0,0,0,0,0,0,1,8
134,0,0,0,0,0,0,0,1,1
135,0,0,0,0,0,0,0,1,4
136,1,0,0,0,0,0,0,1,3
137,0,0,0,0,0,0,0,1,2
138,0,0,0,0,0,0,0,1,1
139,1,0,0,0,0,0,0,1,1
140,1,0,0,0,0,0,0,1,2
141,1,0,0,0,0,0,0,1,9
142,0,0,0,0,0,0,0,1,4
143,0,0,0,0,0,0,0,1,3
144,0,0,0,0,0,0,0,1,2
145,0,0,0,0,0,0,0,1,3
146,0,0,0,0,0,0,0,1,3
147,0,0,0,0,0,0,0,1,2
148,1,0,0,0,0,0,0,1,3
149,0,0,0,0,0,0,0,1,5
150,1,0,0,0,0,0,0,1,2
151,0,0,0,0,0,0,0,1,1
152,1,0,0,0,0,0,0,1,9
153,1,0,0,0,0,0,0,1,3
154,1,0,0,0,0,0,0,1,2
155,1,0,0,0,0,0,0,1,22
156,1,0,0,0,0,0,0,1,4
157,0,0,0,0,0,0,0,1,4
158,0,0,0,0,0,0,0,1,2
159,1,0,0,0,0,0,0,1,5
160,0,0,0,0,0,0,0,1,1
161,1,0,0,0,0,0,0,1,6
162,1,0,0,0,0,0,0,1,3
163,1,0,0,0,0,0,0,1,5
164,1,0,0,0,0,0,0,1,3
165,1,0,0,0,0,0,0,1,1
166,1,0,0,0,0,0,0,1,4
167,1,0,0,0,0,0,0,1,8
168,1,0,0,0,0,0,0,1,1
169,1,0,0,0,0,0,0,1,5
170,1,0,0,0,0,0,0,1,3
171,1,0,0,0,0,0,0,1,10
172,1,0,0,0,0,0,0,1,5
173,1,0,0,0,0,0,0,1,4
174,0,0,0,0,0,0,0,1,3
175,1,0,0,0,0,0,0,1,6
176,1,0,0,0,0,0,0,1,7
177,0,0,0,0,0,0,0,1,1
178,1,0,0,0,0,0,0,1,1
179,1,0,0,0,0,0,0,1,2
180,0,0,0,0,0,0,0,1,2
181,1,0,0,0,0,0,0,1,3
182,0,0,0,0,0,0,0,1,2
183,0,0,0,0,0,0,0,1,1
184,0,0,0,0,0,0,0,1,3
185,1,0,0,0,0,0,0,1,13
186,0,0,0,0,0,0,0,1,2
187,0,0,0,0,0,0,0,1,2
188,1,0,0,0,0,0,0,1,17
189,0,0,0,0,0,0,0,1,5
190,1,0,0,0,0,0,0,1,14
191,1,0,0,0,0,0,0,1,2
192,1,0,0,0,0,0,0,1,2
193,1,0,0,0,0,0,0,1,1
194,1,0,0,0,0,0,0,1,3
195,0,0,0,0,0,0,0,1,1
196,1,0,0,0,0,0,0,1,4
197,1,0,0,0,0,0,0,1,1
198,1,0,0,0,0,0,0,1,6
199,1,0,0,0,0,0,0,1,3
200,0,0,0,0,0,0,0,1,1
201,0,0,0,0,0,0,0,1,1
202,0,0,0,0,0,0,0,1,3
203,0,0,0,0,0,0,0,1,1
204,0,0,0,0,0,0,0,1,6
205,0,0,0,0,0,0,0,1,11
206,0,0,0,0,0,0,0,1,4
207,0,0,0,0,0,0,0,1,9
208,0,0,0,0,0,0,0,1,3
209,0,0,0,0,0,0,0,1,4
210,0,0,0,0,0,0,0,1,15
211,0,0,0,0,0,0,0,1,5
212,0,0,0,0,0,0,0,1,1
213,0,0,0,0,0,0,0,1,1
214,1,0,0,0,0,0,0,1,16
215,0,0,0,0,0,0,0,1,1
216,1,0,0,0,0,0,0,1,4
217,0,0,0,0,0,0,0,1,2
218,1,0,0,0,0,0,0,1,6
219,0,0,0,0,0,0,0,1,3
220,0,0,0,0,0,0,0,1,2
221,0,0,0,0,0,0,0,1,3
222,0,0,0,0,0,0,0,1,4
223,0,0,0,0,0,0,0,1,1
224,0,0,0,0,0,0,0,1,1
225,0,0,0,0,0,0,0,1,2
226,0,0,0,0,0,0,0,1,1
227,0,0,0,0,0,0,0,1,10
228,0,0,0,0,0,0,0,1,2
229,0,0,0,0,0,0,0,1,3
230,0,0,0,0,0,0,0,1,1
231,1,0,0,0,0,0,0,1,5
232,1,0,0,0,0,0,0,1,4
233,1,0,0,0,0,0,0,1,21
234,0,0,0,0,0,0,0,1,4
235,1,0,0,0,0,0,0,1,19
236,0,0,0,0,0,0,0,1,1
237,0,0,0,0,0,0,0,1,2
238,0,0,0,0,0,0,0,1,1
239,1,0,0,0,0,0,0,1,7
240,1,0,0,0,0,0,0,1,10
