ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
1,3,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
8,6,0,0,0,0,0,0,0
9,7,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0
13,15,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0
16,7,0,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0
19,6,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0
24,8,0,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0
37,9,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0
42,3,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0
44,4,0,0,0,0,0,0,0
45,4,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0
47,2,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0
51,6,0,0,0,0,0,0,0
52,3,0,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0
55,4,0,0,0,0,0,0,0
56,2,0,0,0,0,0,0,0
57,3,0,0,0,0,0,0,0
58,3,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0
60,6,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0
62,7,0,0,0,0,0,0,0
63,10,0,0,0,0,0,0,0
64,2,0,0,0,0,0,0,0
65,8,0,0,0,0,0,0,0
66,2,0,0,0,0,0,0,0
67,8,0,0,0,0,0,0,0
68,2,0,0,0,0,0,0,0
69,2,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0
71,4,0,0,0,0,0,0,0
72,17,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,0
75,9,0,0,0,0,0,0,0
76,7,0,0,0,0,0,0,0
77,2,0,0,0,0,0,0,0
78,1,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,0
80,5,0,0,0,0,0,0,0
81,5,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0
83,43,0,0,0,0,0,0,0
84,2,0,0,0,0,0,0,0
85,2,0,0,0,0,0,0,0
86,9,0,0,0,0,0,0,0
87,3,0,0,0,0,0,0,0
88,3,0,0,0,0,0,0,0
89,3,0,0,0,0,0,0,0
90,8,0,0,0,0,0,0,0
91,8,0,0,0,0,0,0,0
92,5,0,0,0,0,0,0,0
93,9,0,0,0,0,0,0,0
94,3,0,0,0,0,0,0,0
95,3,0,0,0,0,0,0,0
96,6,0,0,0,0,0,0,0
97,6,0,0,0,0,0,0,0
98,3,0,0,0,0,0,0,0
99,3,0,0,0,0,0,0,0
100,6,0,0,0,0,0,0,0
101,3,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0
103,1,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0
105,1,0,0,0,0,0,0,0
106,5,0,0,0,0,0,0,0
107,3,0,0,0,0,0,0,0
108,2,0,0,0,0,0,0,0
109,3,0,0,0,0,0,0,0
110,5,0,0,0,0,0,0,0
111,10,0,0,0,0,0,0,1
112,1,0,0,0,0,0,0,1
113,5,0,0,0,0,0,0,1
114,4,0,0,0,0,0,0,1
115,2,0,0,0,0,0,0,1
116,10,0,0,0,0,0,0,1
117,3,0,0,0,0,0,0,1
118,6,0,0,0,0,0,0,1
119,7,0,0,0,0,0,0,1
120,4,0,0,0,0,0,0,1
121,3,0,0,0,0,0,0,1
122,3,0,0,0,0,0,0,1
123,3,0,0,0,0,0,0,1
124,1,0,0,0,0,0,0,1
125,2,0,0,0,0,0,0,1
126,1,0,0,0,0,0,0,1
127,3,0,0,0,0,0,0,1
128,7,0,0,0,0,0,0,1
129,1,0,0,0,0,0,0,1
130,2,0,0,0,0,0,0,1
